season,league,role,minutes_band,player_seasons
2015,Ligue 1,Attack,<450,49
2015,Ligue 1,Attack,unknown,14
2015,Ligue 1,Defender,1800+,75
2015,Ligue 1,Defender,450-899,16
2015,Ligue 1,Defender,900-1799,48
2015,Ligue 1,Defender,<450,25
2015,Ligue 1,Defender,unknown,12
2015,Ligue 1,Goalkeeper,1800+,19
2015,Ligue 1,Goalkeeper,450-899,5
2015,Ligue 1,Goalkeeper,900-1799,4
2015,Ligue 1,Goalkeeper,<450,10
2015,Ligue 1,Goalkeeper,unknown,15
2015,Ligue 1,Midfield,1800+,61
2015,Ligue 1,Midfield,450-899,20
2015,Ligue 1,Midfield,900-1799,40
2015,Ligue 1,Midfield,<450,42
2015,Ligue 1,Midfield,unknown,16
2015,Ligue 1,Missing,900-1799,1
2015,Ligue 1,unknown,1800+,9
2015,Ligue 1,unknown,450-899,5
2015,Ligue 1,unknown,900-1799,7
2015,Ligue 1,unknown,<450,11
2015,Ligue 1,unknown,unknown,27
2015,Premier League,Attack,1800+,41
2015,Premier League,Attack,450-899,24
2015,Premier League,Attack,900-1799,35
2015,Premier League,Attack,<450,53
2015,Premier League,Attack,unknown,13
2015,Premier League,Defender,1800+,79
2015,Premier League,Defender,450-899,25
2015,Premier League,Defender,900-1799,35
2015,Premier League,Defender,<450,35
2015,Premier League,Defender,unknown,13
2015,Premier League,Goalkeeper,1800+,19
2015,Premier League,Goalkeeper,450-899,7
2015,Premier League,Goalkeeper,900-1799,4
2015,Premier League,Goalkeeper,<450,15
2015,Premier League,Goalkeeper,unknown,13
2015,Premier League,Midfield,1800+,59
2015,Premier League,Midfield,450-899,21
2015,Premier League,Midfield,900-1799,39
2015,Premier League,Midfield,<450,41
2015,Premier League,Midfield,unknown,19
2015,Premier League,unknown,1800+,6
2015,Premier League,unknown,450-899,2
2015,Premier League,unknown,900-1799,3
2015,Premier League,unknown,<450,5
2015,Premier League,unknown,unknown,32
2015,Serie A,Attack,1800+,28
2015,Serie A,Attack,450-899,28
2015,Serie A,Attack,900-1799,40
2015,Serie A,Attack,<450,49
2015,Serie A,Attack,unknown,10
2015,Serie A,Defender,1800+,70
2015,Serie A,Defender,450-899,34
2015,Serie A,Defender,900-1799,54
2015,Serie A,Defender,<450,52
2015,Serie A,Defender,unknown,23
2015,Serie A,Goalkeeper,1800+,19
2015,Serie A,Goalkeeper,450-899,8
2015,Serie A,Goalkeeper,900-1799,7
2015,Serie A,Goalkeeper,<450,11
2015,Serie A,Goalkeeper,unknown,30
2015,Serie A,Midfield,1800+,60
2015,Serie A,Midfield,450-899,20
2015,Serie A,Midfield,900-1799,51
2015,Serie A,Midfield,<450,55
2015,Serie A,Midfield,unknown,14
2015,Serie A,unknown,1800+,3
2015,Serie A,unknown,450-899,5
2015,Serie A,unknown,900-1799,7
2015,Serie A,unknown,<450,8
2015,Serie A,unknown,unknown,63
2016,Bundesliga,Attack,1800+,30
2016,Bundesliga,Attack,450-899,18
2016,Bundesliga,Attack,900-1799,29
2016,Bundesliga,Attack,<450,48
2016,Bundesliga,Attack,unknown,5
2016,Bundesliga,Defender,1800+,55
2016,Bundesliga,Defender,450-899,25
2016,Bundesliga,Defender,900-1799,52
2016,Bundesliga,Defender,<450,31
2016,Bundesliga,Defender,unknown,5
2016,Bundesliga,Goalkeeper,1800+,18
2016,Bundesliga,Goalkeeper,450-899,3
2016,Bundesliga,Goalkeeper,900-1799,1
2016,Bundesliga,Goalkeeper,<450,12
2016,Bundesliga,Goalkeeper,unknown,18
2016,Bundesliga,Midfield,1800+,47
2016,Bundesliga,Midfield,450-899,16
2016,Bundesliga,Midfield,900-1799,33
2016,Bundesliga,Midfield,<450,49
2016,Bundesliga,Midfield,unknown,12
2016,Bundesliga,unknown,1800+,5
2016,Bundesliga,unknown,450-899,1
2016,Bundesliga,unknown,900-1799,8
2016,Bundesliga,unknown,<450,11
2016,Bundesliga,unknown,unknown,24
2016,La Liga,Attack,1800+,42
2016,La Liga,Attack,450-899,25
2016,La Liga,Attack,900-1799,44
2016,La Liga,Attack,<450,36
2016,La Liga,Attack,unknown,8
2016,La Liga,Defender,1800+,69
2016,La Liga,Defender,450-899,23
2016,La Liga,Defender,900-1799,58
2016,La Liga,Defender,<450,31
2016,La Liga,Defender,unknown,12
2016,La Liga,Goalkeeper,1800+,19
2016,La Liga,Goalkeeper,450-899,8
2016,La Liga,Goalkeeper,900-1799,4
2016,La Liga,Goalkeeper,<450,9
2016,La Liga,Goalkeeper,unknown,13
2016,La Liga,Midfield,1800+,58
2016,La Liga,Midfield,450-899,18
2016,La Liga,Midfield,900-1799,39
2016,La Liga,Midfield,<450,37
2016,La Liga,Midfield,unknown,9
2016,La Liga,Missing,1800+,2
2016,La Liga,unknown,1800+,3
2016,La Liga,unknown,450-899,4
2016,La Liga,unknown,900-1799,3
2016,La Liga,unknown,<450,14
2016,La Liga,unknown,unknown,26
2016,Ligue 1,Attack,1800+,32
2016,Ligue 1,Attack,450-899,24
2016,Ligue 1,Attack,900-1799,40
2016,Ligue 1,Attack,<450,57
2016,Ligue 1,Attack,unknown,7
2016,Ligue 1,Defender,1800+,71
2016,Ligue 1,Defender,450-899,24
2016,Ligue 1,Defender,900-1799,52
2016,Ligue 1,Defender,<450,29
2016,Ligue 1,Defender,unknown,17
2016,Ligue 1,Goalkeeper,1800+,15
2016,Ligue 1,Goalkeeper,450-899,8
2016,Ligue 1,Goalkeeper,900-1799,9
2016,Ligue 1,Goalkeeper,<450,13
2016,Ligue 1,Goalkeeper,unknown,12
2016,Ligue 1,Midfield,1800+,57
2016,Ligue 1,Midfield,450-899,27
