season,league,role,cohort_size,viable_for_percentile
2025,Ligue 1,Goalkeeper,46,True
2025,Ligue 1,Midfield,162,True
2025,Ligue 1,unknown,86,True
2025,Premier League,Attack,164,True
2025,Premier League,Defender,218,True
2025,Premier League,Goalkeeper,65,True
2025,Premier League,Midfield,173,True
2025,Premier League,unknown,86,True
2025,Serie A,Attack,172,True
2025,Serie A,Defender,229,True
2025,Serie A,Goalkeeper,69,True
2025,Serie A,Midfield,216,True
2025,Serie A,unknown,129,True
2026,Bundesliga,Attack,97,True
2026,Bundesliga,Defender,124,True
2026,Bundesliga,Goalkeeper,37,True
2026,Bundesliga,Midfield,107,True
2026,Bundesliga,unknown,66,True
2026,La Liga,Attack,140,True
2026,La Liga,Defender,154,True
2026,La Liga,Goalkeeper,44,True
2026,La Liga,Midfield,111,True
2026,La Liga,unknown,112,True
2026,Ligue 1,Attack,109,True
2026,Ligue 1,Defender,122,True
2026,Ligue 1,Goalkeeper,34,True
2026,Ligue 1,Midfield,93,True
2026,Ligue 1,unknown,112,True
2026,Premier League,Attack,118,True
2026,Premier League,Defender,157,True
2026,Premier League,Goalkeeper,50,True
2026,Premier League,Midfield,132,True
2026,Premier League,unknown,47,True
2026,Serie A,Attack,117,True
2026,Serie A,Defender,161,True
2026,Serie A,Goalkeeper,50,True
2026,Serie A,Midfield,146,True
2026,Serie A,unknown,96,True
