position_or_role,to_league,age_band,row_count,fee_rate,mv_rate,fbref_perf_rate,wage_prior_rate
Attack,Ligue 1,21-24,130,0.4076923076923077,0.9923076923076923,0.9153846153846154,0.23076923076923078
Attack,LaLiga,21-24,125,0.272,0.992,0.808,0.048
Defender,Premier League,25-28,124,0.33064516129032256,1.0,0.9193548387096774,0.7580645161290323
FWD,Premier League,33+,121,0.14049586776859505,0.3884297520661157,0.38016528925619836,0.17355371900826447
FWD,Serie A,33+,120,0.18333333333333332,0.5833333333333334,0.5833333333333334,0.3333333333333333
DEF,Serie A,33+,118,0.19491525423728814,0.6610169491525424,0.6610169491525424,0.3135593220338983
FWD,Liga Portugal,21-24,117,0.1452991452991453,0.9487179487179487,0.5811965811965812,0.4358974358974359
GK,Ligue 1,29-32,113,0.11504424778761062,0.5398230088495575,0.5398230088495575,0.3805309734513274
Defender,Serie A,25-28,111,0.45045045045045046,1.0,0.972972972972973,0.5675675675675675
Defender,Bundesliga,25-28,107,0.3364485981308411,1.0,0.9252336448598131,0.5981308411214953
Attack,Bundesliga,21-24,103,0.47572815533980584,1.0,0.9320388349514563,0.4077669902912621
Attack,Premier League,25-28,103,0.33980582524271846,1.0,0.9029126213592233,0.6699029126213593
Attack,Serie A,25-28,101,0.38613861386138615,1.0,0.9306930693069307,0.6831683168316832
MID,Serie A,33+,101,0.1485148514851485,0.49504950495049505,0.49504950495049505,0.297029702970297
GK,Bundesliga,29-32,100,0.28,0.61,0.6,0.48
Defender,Ligue 1,21-24,98,0.41836734693877553,0.9693877551020408,0.8469387755102041,0.21428571428571427
DEF,Liga Portugal,21-24,96,0.14583333333333334,0.96875,0.6770833333333334,0.5520833333333334
MID,Liga Portugal,21-24,96,0.14583333333333334,0.9479166666666666,0.7708333333333334,0.4895833333333333
Defender,Bundesliga,21-24,89,0.5056179775280899,1.0,0.9101123595505618,0.30337078651685395
FWD,Eredivisie,21-24,88,0.18181818181818182,0.9886363636363636,0.625,0.7045454545454546
FWD,Liga Portugal,25-28,86,0.18604651162790697,0.9534883720930233,0.686046511627907,0.3488372093023256
Attack,Ligue 1,<21,84,0.3333333333333333,0.9047619047619048,0.7738095238095238,0.0
MID,Premier League,33+,84,0.20238095238095238,0.38095238095238093,0.32142857142857145,0.21428571428571427
Attack,Premier League,<21,83,0.46987951807228917,0.963855421686747,0.6024096385542169,0.012048192771084338
Attack,Bundesliga,25-28,82,0.4146341463414634,1.0,0.9512195121951219,0.6829268292682927
Defender,LaLiga,21-24,82,0.2926829268292683,0.9878048780487805,0.926829268292683,0.25609756097560976
Attack,LaLiga,25-28,80,0.4,1.0,0.975,0.375
Midfield,Ligue 1,21-24,80,0.3625,1.0,0.875,0.175
Midfield,Serie A,<21,79,0.31645569620253167,0.9493670886075949,0.6582278481012658,0.02531645569620253
