prediction_key,player_id,player_name,role,to_league,outcome_season,next_minutes,s0_pred,s1_pred,s1_lo,s1_hi,shrunk_prior_sporting_rate,feature_tier,club_match_confidence
spmvp1|206050|2015-07-01|458|506|permanent|k-206050-2015-summer-us-palermo-juventus-fc|000,206050,Paulo Dybala,FWD,Serie A,2016,2443.0,1312.8644633110976,1312.8644633110976,562.9801504929578,2062.7487761292373,0.0,medium,exact
spmvp1|206912|2016-01-30|1095|1158|permanent|k-206912-2015-winter-estac-troyes-fc-lorient|000,206912,Jimmy Cabot,MID,Ligue 1,2016,746.0,1367.8882430357535,1367.8882430357535,272.5188935318947,2463.2575925396122,0.0,low,exact
spmvp1|212391|2015-06-30|366|3368|end-of-loan|k-212391-2015-summer-real-valladolid-levante-ud|000,212391,Roger Martí,FWD,La Liga,2016,650.0,1473.3092282784673,1473.3092282784673,542.3435459161369,2404.2749106407978,0.0,low,exact
spmvp1|214775|2015-06-30|720|13|end-of-loan|k-214775-2015-summer-fc-porto-atl-tico-de-madrid|000,214775,Óliver Torres,MID,La Liga,2016,818.0,1367.8882430357535,1367.8882430357535,567.0525884396532,2168.723897631854,0.0,low,exact
spmvp1|215977|2015-07-01|14171|995|permanent|k-215977-2015-summer-fc-vian-thonon-gaillard-fc-nantes|000,215977,Adrien Thomasson,MID,Ligue 1,2016,2514.0,1367.8882430357535,1367.8882430357535,297.0637187228572,2438.71276734865,0.0,low,exact
spmvp1|217115|2015-08-10|417|618|permanent|k-217115-2015-summer-ogc-nice-saint-tienne|000,217115,Neal Maupay,FWD,Ligue 1,2016,525.0,1312.8644633110976,1312.8644633110976,548.6765963835046,2077.0523302386905,0.0,medium,exact
spmvp1|221899|2015-07-01|13|1050|loan|k-221899-2015-summer-atl-tico-de-madrid-villarreal-cf|000,221899,Leo Baptistão,FWD,La Liga,2016,1266.0,1473.3092282784673,1473.3092282784673,846.7269497974547,2099.89150675948,0.0,high,exact
spmvp1|224884|2015-08-16|167|631|permanent|k-224884-2015-summer-fc-augsburg-chelsea-fc|000,224884,Abdul-Rahman Baba,DEF,Premier League,2016,1018.0,1447.4788015463917,1447.4788015463917,733.9556698737938,2161.0019332189895,0.0,medium,exact
spmvp1|229853|2015-06-30|3911|995|end-of-loan|k-229853-2015-summer-stade-brestois-29-fc-nantes|000,229853,Birama Touré,MID,Ligue 1,2016,1815.0,1528.3330080031233,1528.3330080031233,855.5882863140638,2201.077729692183,0.0,high,exact
spmvp1|234523|2015-08-11|12|2448|loan|k-234523-2015-summer-as-roma-sporting-gij-n|000,234523,Antonio Sanabria,FWD,La Liga,2016,2255.0,1312.8644633110976,1312.8644633110976,236.55709938366954,2389.1718272385256,0.0,low,exact
spmvp1|241119|2015-08-15|1041|148|permanent|k-241119-2015-summer-olympique-lyon-tottenham-hotspur|000,241119,Clinton N'Jie,FWD,Premier League,2016,192.0,1473.3092282784673,1473.3092282784673,420.5968434268807,2526.021613130054,0.0,low,high
spmvp1|241229|2015-07-18|417|405|permanent|k-241229-2015-summer-ogc-nice-aston-villa|000,241229,Jordan Amavi,DEF,Premier League,2016,837.0,1447.4788015463917,1447.4788015463917,666.375209667162,2228.5823934256214,0.0,medium,exact
spmvp1|243714|2015-08-30|506|27|loan|k-243714-2015-summer-juventus-bayern-munich|000,243714,Kingsley Coman,FWD,Bundesliga,2016,1685.0,1312.8644633110976,1312.8644633110976,239.00686501141627,2386.722061610779,0.0,low,exact
spmvp1|246291|2015-07-13|6767|367|loan|k-246291-2015-summer-real-madrid-castilla-rayo-vallecano|000,246291,Diego Llorente,DEF,La Liga,2016,2874.0,1447.4788015463917,1447.4788015463917,362.43004748355315,2532.52755560923,0.0,low,exact
spmvp1|28140|2015-08-04|618|989|permanent|k-28140-2015-summer-saint-tienne-afc-bournemouth|000,28140,Max Gradel,FWD,Premier League,2016,891.0,1624.9994117647059,1624.9994117647059,1017.7927411274218,2232.20608240199,0.0,high,exact
spmvp1|28396|2015-08-12|281|12|loan|k-28396-2015-summer-manchester-city-as-roma|000,28396,Edin Dzeko,FWD,Serie A,2016,1959.0,1223.3627450980393,1223.3627450980393,676.7668351834651,1769.9586550126137,0.0,high,exact
